Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Complement	15/200	2.664508e-11	1.092448e-09	0	0	1.189956e+01	2.897354e+02	C1QA;FCER1G;CLU;MT3;CTSS;SPOCK2;PFN1;CALM1;S100A9;CTSD;CTSC;LGMN;CTSB;MSRB1;C1QC
MSigDB_Hallmark_2020	mTORC1 Signaling	9/200	1.950187e-05	3.997884e-04	0	0	6.617053e+00	7.176194e+01	SLC6A6;SLC7A5;PRDX1;GSR;SLC2A1;ALDOA;CORO1A;CTSC;LGMN
MSigDB_Hallmark_2020	Coagulation	7/138	7.937979e-05	1.084857e-03	0	0	7.420707e+00	7.006088e+01	C1QA;ANXA1;TIMP3;CRIP2;CLU;LGMN;CTSB
MSigDB_Hallmark_2020	Adipogenesis	8/200	1.298945e-04	1.331419e-03	0	0	5.809397e+00	5.198706e+01	COX8A;ARL4A;ENPP2;SPARCL1;TALDO1;CHCHD10;UQCR10;ALDOA
MSigDB_Hallmark_2020	Apoptosis	7/161	2.071891e-04	1.698951e-03	0	0	6.305058e+00	5.347873e+01	IFITM3;ANXA1;GSR;HMGB2;HSPB1;TIMP3;CLU
MSigDB_Hallmark_2020	KRAS Signaling Up	7/200	7.634023e-04	5.216583e-03	0	0	5.021017e+00	3.603948e+01	FCER1G;TSPAN13;SLPI;LAPTM5;SPARCL1;GNG11;CTSS
MSigDB_Hallmark_2020	Cholesterol Homeostasis	4/74	2.272293e-03	1.330915e-02	0	0	7.795468e+00	4.745075e+01	GPX8;CLU;S100A11;LGMN
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	3/49	5.811022e-03	2.978149e-02	0	0	8.846784e+00	4.554323e+01	PRDX1;GSR;LSP1
MSigDB_Hallmark_2020	Pperoxisome	4/104	7.650745e-03	3.485339e-02	0	0	5.448552e+00	2.655053e+01	PRDX5;TTR;PRDX1;SLC25A4
MSigDB_Hallmark_2020	Estrogen Response Late	5/200	1.710444e-02	5.844016e-02	0	0	3.500000e+00	1.423946e+01	SLC7A5;CXCL12;TSPAN13;COX6C;S100A9
MSigDB_Hallmark_2020	Myogenesis	5/200	1.710444e-02	5.844016e-02	0	0	3.500000e+00	1.423946e+01	FXYD1;IGFBP7;LSP1;CLU;CRYAB
MSigDB_Hallmark_2020	Oxidative Phosphorylation	5/200	1.710444e-02	5.844016e-02	0	0	3.500000e+00	1.423946e+01	COX8A;MDH1;UQCR10;COX6C;SLC25A4
MSigDB_Hallmark_2020	Fatty Acid Metabolism	4/158	3.064604e-02	8.974912e-02	0	0	3.528348e+00	1.229718e+01	LGALS1;MDH1;ALDOA;GLUL
MSigDB_Hallmark_2020	UV Response Up	4/158	3.064604e-02	8.974912e-02	0	0	3.528348e+00	1.229718e+01	BSG;IGFBP2;ALDOA;SLC25A4
MSigDB_Hallmark_2020	Bile Acid Metabolism	3/112	5.134035e-02	1.225067e-01	0	0	3.721629e+00	1.105055e+01	PRDX5;TTR;RBP1
MSigDB_Hallmark_2020	TGF-beta Signaling	2/54	6.134487e-02	1.225067e-01	0	0	5.180272e+00	1.445940e+01	ID1;ID3
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	4/199	6.183448e-02	1.225067e-01	0	0	2.780690e+00	7.739477e+00	IFITM3;ARL4A;CTSZ;CD48
MSigDB_Hallmark_2020	Hypoxia	4/200	6.274734e-02	1.225067e-01	0	0	2.766362e+00	7.659057e+00	SLC6A6;PRDX5;SLC2A1;ALDOA
MSigDB_Hallmark_2020	Estrogen Response Early	4/200	6.274734e-02	1.225067e-01	0	0	2.766362e+00	7.659057e+00	SLC7A5;CXCL12;OLFML3;SLC2A1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	4/200	6.274734e-02	1.225067e-01	0	0	2.766362e+00	7.659057e+00	CXCL12;LGALS1;IGFBP2;TIMP3
MSigDB_Hallmark_2020	heme Metabolism	4/200	6.274734e-02	1.225067e-01	0	0	2.766362e+00	7.659057e+00	BSG;SLC2A1;ABCG2;CTSB
MSigDB_Hallmark_2020	Spermatogenesis	3/135	8.004487e-02	1.491745e-01	0	0	3.069583e+00	7.751212e+00	ARL4A;PEBP1;TALDO1
MSigDB_Hallmark_2020	Protein Secretion	2/96	1.604819e-01	2.402485e-01	0	0	2.859603e+00	5.231857e+00	CD63;CTSC
MSigDB_Hallmark_2020	Interferon Alpha Response	2/97	1.631035e-01	2.402485e-01	0	0	2.829359e+00	5.130677e+00	IFITM3;IFI27
MSigDB_Hallmark_2020	Androgen Response	2/100	1.710136e-01	2.402485e-01	0	0	2.742330e+00	4.842987e+00	TSC22D1;GSR
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	2/105	1.843336e-01	2.402485e-01	0	0	2.608546e+00	4.411073e+00	SLC2A1;PFN1
MSigDB_Hallmark_2020	Interferon Gamma Response	3/200	1.875111e-01	2.402485e-01	0	0	2.049997e+00	3.431525e+00	IFITM3;ARL4A;IFI27
