Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Complement	17/200	2.554514e-11	1.098441e-09	0	0	9.743169e+00	2.376415e+02	C1QA;FCER1G;HSPA5;F3;MT3;CTSS;LGALS3;CTSL;PIM1;PFN1;CTSD;S100A9;CTSC;LGMN;CTSB;C1QC;MSRB1
MSigDB_Hallmark_2020	Oxidative Phosphorylation	13/200	1.466584e-07	2.102104e-06	0	0	7.137134e+00	1.123039e+02	COX8A;COX7B;MDH1;GPX4;NDUFA4;COX4I1;NDUFA1;UQCR11;UQCR10;COX6C;UQCRH;LDHB;SLC25A4
MSigDB_Hallmark_2020	KRAS Signaling Up	13/200	1.466584e-07	2.102104e-06	0	0	7.137134e+00	1.123039e+02	FCER1G;LAPTM5;G0S2;CTSS;MAFB;TSPAN13;SLPI;ID2;IL1B;C3AR1;PECAM1;SPARCL1;ADGRL4
MSigDB_Hallmark_2020	Adipogenesis	12/200	1.049152e-06	9.022711e-06	0	0	6.518617e+00	8.974524e+01	COX8A;COX7B;ARL4A;GPX4;IFNGR1;COL4A1;ENPP2;SPARCL1;LPL;CHCHD10;UQCR11;UQCR10
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	12/200	1.049152e-06	9.022711e-06	0	0	6.518617e+00	8.974524e+01	PDGFRB;SPARC;LGALS1;TPM4;COL4A1;CALD1;ID2;SERPINH1;HTRA1;EMP3;TGFBI;RHOB
MSigDB_Hallmark_2020	Apoptosis	10/161	6.231903e-06	4.466197e-05	0	0	6.706151e+00	8.037878e+01	IFITM3;PDGFRB;LGALS3;GPX4;IFNGR1;IL1B;GSR;HSPB1;CD14;RHOB
MSigDB_Hallmark_2020	Coagulation	9/138	1.234438e-05	7.582976e-05	0	0	7.036494e+00	7.952863e+01	C1QA;SPARC;HTRA1;PECAM1;CD9;CRIP2;F3;LGMN;CTSB
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	7/87	3.037033e-05	1.632405e-04	0	0	8.757107e+00	9.109181e+01	CCR1;IFNGR1;IL1R2;IL1B;PIM1;CD9;CD14
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	9/199	2.121883e-04	9.525623e-04	0	0	4.762591e+00	4.028217e+01	IFITM3;ARL4A;GPX4;IFNGR1;CD81;IL1R2;CTSZ;PIM1;RHOB
MSigDB_Hallmark_2020	TGF-beta Signaling	5/54	2.215261e-04	9.525623e-04	0	0	1.012563e+01	8.520686e+01	FKBP1A;ID2;ID1;ID3;SPTBN1
MSigDB_Hallmark_2020	Cholesterol Homeostasis	5/74	9.572194e-04	3.041690e-03	0	0	7.183381e+00	4.993511e+01	LGALS3;LPL;CD9;S100A11;LGMN
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	8/200	1.061055e-03	3.041690e-03	0	0	4.167517e+00	2.854121e+01	TSC22D1;ID2;IL1B;G0S2;PLPP3;F3;CXCL2;RHOB
MSigDB_Hallmark_2020	Hypoxia	8/200	1.061055e-03	3.041690e-03	0	0	4.167517e+00	2.854121e+01	PRDX5;ANXA2;HSPA5;SDC2;PIM1;SLC2A1;TGFBI;F3
MSigDB_Hallmark_2020	mTORC1 Signaling	8/200	1.061055e-03	3.041690e-03	0	0	4.167517e+00	2.854121e+01	HSPA5;GSR;SERPINH1;SLC2A1;CD9;CFP;CTSC;LGMN
MSigDB_Hallmark_2020	Allograft Rejection	8/200	1.061055e-03	3.041690e-03	0	0	4.167517e+00	2.854121e+01	CCR1;SRGN;RPS9;IFNGR1;IL1B;LY86;CFP;CTSS
MSigDB_Hallmark_2020	UV Response Dn	6/144	3.639892e-03	9.782209e-03	0	0	4.316645e+00	2.424142e+01	PDGFRB;ANXA2;SDC2;ID1;PLPP3;F3
MSigDB_Hallmark_2020	Inflammatory Response	7/200	4.529269e-03	1.145639e-02	0	0	3.609084e+00	1.947893e+01	IL1B;C5AR1;C3AR1;SLC1A2;CD14;EMP3;F3
MSigDB_Hallmark_2020	Angiogenesis	3/36	5.828053e-03	1.392257e-02	0	0	8.938489e+00	4.598917e+01	VTN;LPL;PGLYRP1
MSigDB_Hallmark_2020	Estrogen Response Late	6/200	1.691901e-02	3.306898e-02	0	0	3.061856e+00	1.249028e+01	TSPAN13;ID2;CD9;CKB;COX6C;S100A9
