Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Complement	18/200	2.358092e-13	9.903988e-12	0	0	1.214011e+01	3.529828e+02	C1QA;FCER1G;CLU;MT3;F3;CTSS;LGALS3;SPOCK2;IRF7;PFN1;CALM1;S100A9;CTSD;CTSC;LGMN;CTSB;MSRB1;C1QC
MSigDB_Hallmark_2020	Oxidative Phosphorylation	12/200	2.438752e-07	5.121380e-06	0	0	7.549603e+00	1.149548e+02	COX8A;COX7B;GPX4;UQCRQ;NDUFA4;COX4I1;NDUFA1;COX7A2;UQCR10;COX7C;SLC25A4;COX6B1
MSigDB_Hallmark_2020	Apoptosis	10/161	1.843259e-06	1.936459e-05	0	0	7.754257e+00	1.023870e+02	IFITM3;PDGFRB;LGALS3;ANXA1;GPX4;HMGB2;BGN;HSPB1;TIMP3;CLU
MSigDB_Hallmark_2020	Adipogenesis	11/200	1.844247e-06	1.936459e-05	0	0	6.842284e+00	9.034168e+01	COX8A;ARL4A;COX7B;GPX4;UQCRQ;ENPP2;SPARCL1;TALDO1;CHCHD10;UQCR10;ALDOA
MSigDB_Hallmark_2020	Coagulation	8/138	3.337004e-05	2.803083e-04	0	0	7.128326e+00	7.347773e+01	C1QA;ANXA1;TIMP3;CRIP2;CLU;F3;LGMN;CTSB
MSigDB_Hallmark_2020	Hypoxia	7/200	2.131310e-03	1.118938e-02	0	0	4.163349e+00	2.560884e+01	SLC6A6;PRDX5;SDC2;SLC2A1;BGN;ALDOA;F3
MSigDB_Hallmark_2020	mTORC1 Signaling	7/200	2.131310e-03	1.118938e-02	0	0	4.163349e+00	2.560884e+01	SLC6A6;SLC7A5;SLC2A1;ALDOA;CORO1A;CTSC;LGMN
MSigDB_Hallmark_2020	KRAS Signaling Up	7/200	2.131310e-03	1.118938e-02	0	0	4.163349e+00	2.560884e+01	MAFB;FCER1G;SLPI;LAPTM5;SPARCL1;GNG11;CTSS
MSigDB_Hallmark_2020	Cholesterol Homeostasis	4/74	4.299684e-03	2.006519e-02	0	0	6.486700e+00	3.534741e+01	LGALS3;CLU;S100A11;LGMN
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	6/200	9.116387e-03	3.590984e-02	0	0	3.529369e+00	1.657985e+01	PDGFRB;LGALS1;CALD1;BGN;TIMP3;MYL9
MSigDB_Hallmark_2020	UV Response Dn	5/144	9.404957e-03	3.590984e-02	0	0	4.092610e+00	1.909824e+01	PDGFRB;SDC2;ID1;PLPP3;F3
MSigDB_Hallmark_2020	Protein Secretion	4/96	1.068106e-02	3.738370e-02	0	0	4.930035e+00	2.237883e+01	CD63;SGMS1;GNAS;CTSC
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	5/199	3.289161e-02	1.062652e-01	0	0	2.924140e+00	9.984587e+00	IFITM3;ARL4A;GPX4;CD81;CTSZ
MSigDB_Hallmark_2020	Angiogenesis	2/36	4.072150e-02	1.221645e-01	0	0	6.613636e+00	2.117024e+01	VTN;PGLYRP1
MSigDB_Hallmark_2020	Interferon Alpha Response	3/97	5.571476e-02	1.560013e-01	0	0	3.597812e+00	1.038872e+01	IFITM3;IFI27;IRF7
MSigDB_Hallmark_2020	Pperoxisome	3/104	6.584221e-02	1.612635e-01	0	0	3.347270e+00	9.106229e+00	PRDX5;TTR;SLC25A4
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	2/49	7.057110e-02	1.612635e-01	0	0	4.781190e+00	1.267558e+01	GPX4;LSP1
MSigDB_Hallmark_2020	TGF-beta Signaling	2/54	8.347098e-02	1.612635e-01	0	0	4.320367e+00	1.072858e+01	ID1;ID3
MSigDB_Hallmark_2020	Estrogen Response Early	4/200	1.036694e-01	1.612635e-01	0	0	2.301900e+00	5.217368e+00	SLC7A5;OLFML3;SLC2A1;NBL1
MSigDB_Hallmark_2020	Myogenesis	4/200	1.036694e-01	1.612635e-01	0	0	2.301900e+00	5.217368e+00	IGFBP7;LSP1;CLU;SOD3
MSigDB_Hallmark_2020	Interferon Gamma Response	4/200	1.036694e-01	1.612635e-01	0	0	2.301900e+00	5.217368e+00	IFITM3;ARL4A;IFI27;IRF7
MSigDB_Hallmark_2020	Apical Junction	4/200	1.036694e-01	1.612635e-01	0	0	2.301900e+00	5.217368e+00	CLDN5;RAC2;PFN1;MYL9
MSigDB_Hallmark_2020	Xenobiotic Metabolism	4/200	1.036694e-01	1.612635e-01	0	0	2.301900e+00	5.217368e+00	SLC6A6;VTN;NDRG2;PTGDS
MSigDB_Hallmark_2020	Glycolysis	4/200	1.036694e-01	1.612635e-01	0	0	2.301900e+00	5.217368e+00	SDC2;TALDO1;NDUFV3;ALDOA
MSigDB_Hallmark_2020	p53 Pathway	4/200	1.036694e-01	1.612635e-01	0	0	2.301900e+00	5.217368e+00	TSC22D1;CD81;CTSD;TM4SF1
MSigDB_Hallmark_2020	heme Metabolism	4/200	1.036694e-01	1.612635e-01	0	0	2.301900e+00	5.217368e+00	BSG;SLC2A1;ABCG2;CTSB
MSigDB_Hallmark_2020	Allograft Rejection	4/200	1.036694e-01	1.612635e-01	0	0	2.301900e+00	5.217368e+00	LY86;IRF7;FCGR2B;CTSS
MSigDB_Hallmark_2020	Fatty Acid Metabolism	3/158	1.667725e-01	2.415326e-01	0	0	2.175152e+00	3.895969e+00	LGALS1;ALDOA;GLUL
MSigDB_Hallmark_2020	UV Response Up	3/158	1.667725e-01	2.415326e-01	0	0	2.175152e+00	3.895969e+00	BSG;ALDOA;SLC25A4
MSigDB_Hallmark_2020	Androgen Response	2/100	2.235668e-01	3.129936e-01	0	0	2.287106e+00	3.426187e+00	TSC22D1;DBI
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	2/105	2.399787e-01	3.251324e-01	0	0	2.175530e+00	3.104927e+00	SLC2A1;PFN1
MSigDB_Hallmark_2020	Bile Acid Metabolism	2/112	2.630420e-01	3.254402e-01	0	0	2.036364e+00	2.719445e+00	PRDX5;TTR
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	3/200	2.634516e-01	3.254402e-01	0	0	1.707759e+00	2.277956e+00	TSC22D1;PLPP3;F3
MSigDB_Hallmark_2020	Estrogen Response Late	3/200	2.634516e-01	3.254402e-01	0	0	1.707759e+00	2.277956e+00	SLC7A5;NBL1;S100A9
MSigDB_Hallmark_2020	Pancreas Beta Cells	1/40	3.008875e-01	3.610650e-01	0	0	2.865855e+00	3.441946e+00	MAFB
MSigDB_Hallmark_2020	Apical Surface	1/44	3.254960e-01	3.797453e-01	0	0	2.598739e+00	2.916838e+00	HSPB1
MSigDB_Hallmark_2020	Spermatogenesis	2/135	3.384743e-01	3.842140e-01	0	0	1.682245e+00	1.822388e+00	ARL4A;TALDO1
MSigDB_Hallmark_2020	Inflammatory Response	2/200	5.334006e-01	5.895480e-01	0	0	1.126263e+00	7.078365e-01	IRF7;F3
MSigDB_Hallmark_2020	Unfolded Protein Response	1/113	6.368908e-01	6.858824e-01	0	0	9.942494e-01	4.485626e-01	SLC7A5
MSigDB_Hallmark_2020	DNA Repair	1/150	7.397247e-01	7.767109e-01	0	0	7.459523e-01	2.248876e-01	GPX4
MSigDB_Hallmark_2020	G2-M Checkpoint	1/200	8.341972e-01	8.341972e-01	0	0	5.571076e-01	1.009955e-01	SLC7A5
MSigDB_Hallmark_2020	E2F Targets	1/200	8.341972e-01	8.341972e-01	0	0	5.571076e-01	1.009955e-01	HMGB2
