Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Complement	18/200	3.152560e-12	1.355601e-10	0	0	1.026217e+01	2.717710e+02	C1QA;FCER1G;HSPA5;PLAT;F3;CLU;MT3;CTSS;CTSL;SPOCK2;PFN1;CTSD;S100A9;CTSC;LGMN;CTSB;C1QC;MSRB1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	14/200	2.270344e-08	4.881240e-07	0	0	7.646610e+00	1.345861e+02	PDGFRB;SPARC;TPM4;NTM;BGN;HTRA1;EMP3;RGS4;LGALS1;COL4A1;CALD1;SERPINH1;TGFBI;MYL9
MSigDB_Hallmark_2020	Coagulation	11/138	2.044679e-07	2.930707e-06	0	0	8.690583e+00	1.338598e+02	C1QA;SPARC;HTRA1;PECAM1;CD9;PLAT;CRIP2;CLU;F3;LGMN;CTSB
MSigDB_Hallmark_2020	KRAS Signaling Up	12/200	1.223782e-06	1.315565e-05	0	0	6.417349e+00	8.736299e+01	FCER1G;MAFB;TSPAN13;SLPI;IL1B;LAPTM5;PECAM1;G0S2;CPE;PLAT;CTSS;ENG
MSigDB_Hallmark_2020	Oxidative Phosphorylation	11/200	7.892616e-06	6.787650e-05	0	0	5.821294e+00	6.839777e+01	COX8A;LDHB;MDH1;GPX4;UQCRQ;NDUFA4;NDUFA1;UQCR11;UQCR10;COX6C;SLC25A4
MSigDB_Hallmark_2020	Adipogenesis	10/200	4.631422e-05	3.319186e-04	0	0	5.237243e+00	5.226801e+01	COX8A;ARL4A;GPX4;COL4A1;UQCRQ;ENPP2;CHCHD10;UQCR11;APOE;UQCR10
MSigDB_Hallmark_2020	Cholesterol Homeostasis	6/74	1.179303e-04	7.244291e-04	0	0	8.658911e+00	7.832346e+01	GPX8;CD9;ALDOC;CLU;S100A11;LGMN
MSigDB_Hallmark_2020	TGF-beta Signaling	5/54	2.370205e-04	1.172829e-03	0	0	9.973732e+00	8.325437e+01	FKBP1A;ID1;ID3;SPTBN1;ENG
MSigDB_Hallmark_2020	Hypoxia	9/200	2.454759e-04	1.172829e-03	0	0	4.664921e+00	3.877628e+01	PRDX5;ANXA2;HSPA5;SDC2;BGN;SLC2A1;ALDOC;TGFBI;F3
MSigDB_Hallmark_2020	Apoptosis	8/161	2.791961e-04	1.200543e-03	0	0	5.160443e+00	4.223098e+01	IFITM3;PDGFRB;GPX4;IL1B;BGN;HSPB1;PLAT;CLU
MSigDB_Hallmark_2020	UV Response Dn	7/144	7.639141e-04	2.986210e-03	0	0	5.021606e+00	3.604034e+01	RGS4;PDGFRB;ANXA2;SDC2;ID1;PLPP3;F3
MSigDB_Hallmark_2020	Estrogen Response Late	8/200	1.165077e-03	3.853716e-03	0	0	4.104062e+00	2.772281e+01	SLC7A5;TSPAN13;CPE;CD9;CKB;COX6C;NBL1;S100A9
MSigDB_Hallmark_2020	mTORC1 Signaling	8/200	1.165077e-03	3.853716e-03	0	0	4.104062e+00	2.772281e+01	SLC7A5;HSPA5;SERPINH1;SLC2A1;CD9;CFP;CTSC;LGMN
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	7/199	4.770126e-03	1.239634e-02	0	0	3.573099e+00	1.909958e+01	IFITM3;PRNP;ARL4A;GPX4;IL1R2;CTSZ;PHLDA1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	7/200	4.900880e-03	1.239634e-02	0	0	3.554404e+00	1.890353e+01	TSC22D1;IL1B;G0S2;PLPP3;F3;PHLDA1;CXCL2
MSigDB_Hallmark_2020	Myogenesis	7/200	4.900880e-03	1.239634e-02	0	0	3.554404e+00	1.890353e+01	PRNP;SPARC;FXYD1;IGFBP7;CKB;CLU;SOD3
MSigDB_Hallmark_2020	Allograft Rejection	7/200	4.900880e-03	1.239634e-02	0	0	3.554404e+00	1.890353e+01	CCR1;SRGN;RPS9;IL1B;LY86;CFP;CTSS
MSigDB_Hallmark_2020	Angiogenesis	3/36	6.067907e-03	1.449556e-02	0	0	8.805704e+00	4.495084e+01	VTN;KCNJ8;PGLYRP1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	4/87	1.272415e-02	2.879676e-02	0	0	4.679209e+00	2.042126e+01	CCR1;IL1R2;IL1B;CD9
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	3/49	1.419711e-02	3.052378e-02	0	0	6.312980e+00	2.685994e+01	PRNP;GPX4;PRDX6
MSigDB_Hallmark_2020	Apical Junction	6/200	1.804534e-02	3.421037e-02	0	0	3.015695e+00	1.210762e+01	CLDN5;PECAM1;TGFBI;PFN1;MYL9;CD34
MSigDB_Hallmark_2020	Inflammatory Response	6/200	1.804534e-02	3.421037e-02	0	0	3.015695e+00	1.210762e+01	IFITM1;IL1B;C5AR1;SLC1A2;EMP3;F3
MSigDB_Hallmark_2020	Interferon Alpha Response	4/97	1.829857e-02	3.421037e-02	0	0	4.173950e+00	1.669969e+01	IFITM3;IFITM1;IFITM2;IFI27
MSigDB_Hallmark_2020	Interferon Gamma Response	5/200	5.728667e-02	1.026386e-01	0	0	2.487687e+00	7.114007e+00	IFITM3;ARL4A;IFITM2;IFI27;P2RY14
MSigDB_Hallmark_2020	Protein Secretion	3/96	7.772122e-02	1.305446e-01	0	0	3.115117e+00	7.957962e+00	CD63;SGMS1;CTSC
MSigDB_Hallmark_2020	Fatty Acid Metabolism	4/158	8.196986e-02	1.305446e-01	0	0	2.512827e+00	6.285595e+00	LGALS1;MDH1;G0S2;PRDX6
MSigDB_Hallmark_2020	UV Response Up	4/158	8.196986e-02	1.305446e-01	0	0	2.512827e+00	6.285595e+00	BSG;CXCL2;SLC25A4;GRINA
MSigDB_Hallmark_2020	Pperoxisome	3/104	9.344358e-02	1.435026e-01	0	0	2.867210e+00	6.796428e+00	PRDX5;TTR;SLC25A4
MSigDB_Hallmark_2020	Xenobiotic Metabolism	4/200	1.539306e-01	2.135166e-01	0	0	1.970142e+00	3.686635e+00	VTN;APOE;PTGDS;NDRG2
MSigDB_Hallmark_2020	Glycolysis	4/200	1.539306e-01	2.135166e-01	0	0	1.970142e+00	3.686635e+00	MDH1;HSPA5;SDC2;TGFBI
MSigDB_Hallmark_2020	heme Metabolism	4/200	1.539306e-01	2.135166e-01	0	0	1.970142e+00	3.686635e+00	BSG;SLC2A1;CTSB;ABCG2
MSigDB_Hallmark_2020	Androgen Response	2/100	2.771997e-01	3.724871e-01	0	0	1.960677e+00	2.515582e+00	TSC22D1;DBI
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	2/105	2.963519e-01	3.861555e-01	0	0	1.865025e+00	2.268258e+00	SLC2A1;PFN1
MSigDB_Hallmark_2020	Bile Acid Metabolism	2/112	3.230295e-01	3.874955e-01	0	0	1.745721e+00	1.972684e+00	PRDX5;TTR
MSigDB_Hallmark_2020	Unfolded Protein Response	2/113	3.268220e-01	3.874955e-01	0	0	1.729906e+00	1.934622e+00	SLC7A5;HSPA5
MSigDB_Hallmark_2020	Pancreas Beta Cells	1/40	3.406923e-01	3.874955e-01	0	0	2.458800e+00	2.647576e+00	MAFB
MSigDB_Hallmark_2020	Estrogen Response Early	3/200	3.424379e-01	3.874955e-01	0	0	1.462825e+00	1.567658e+00	SLC7A5;SLC2A1;NBL1
MSigDB_Hallmark_2020	p53 Pathway	3/200	3.424379e-01	3.874955e-01	0	0	1.462825e+00	1.567658e+00	LDHB;TSC22D1;CTSD
MSigDB_Hallmark_2020	Apical Surface	1/44	3.676218e-01	4.053266e-01	0	0	2.229623e+00	2.231185e+00	HSPB1
MSigDB_Hallmark_2020	Spermatogenesis	1/135	7.556804e-01	8.123564e-01	0	0	7.121794e-01	1.995076e-01	ARL4A
MSigDB_Hallmark_2020	DNA Repair	1/150	7.912166e-01	8.298125e-01	0	0	6.399948e-01	1.498763e-01	GPX4
MSigDB_Hallmark_2020	Mitotic Spindle	1/199	8.751626e-01	8.764676e-01	0	0	4.804109e-01	6.406068e-02	SPTBN1
MSigDB_Hallmark_2020	G2-M Checkpoint	1/200	8.764676e-01	8.764676e-01	0	0	4.779724e-01	6.302330e-02	SLC7A5
